idpackets_db,STX,length,"Sequence Number",Direct,CMD,"Sensor ID","Sensor Number",Data,Checksum,ETX,Time
11614,33,0073,8e,91,80,ff,ff,5b4556454e545d5b303030302e30302e30305d5b30363a32363a32365d20526563762042696f20446174612050445b315d204143545b31305d2042525b31355d2048525b35315d20585b305d20595b395d204261745b3130305d20436f6d5b305d20525353495b2d31305d,34,55,"12/03/2022, 19:23:39.439045"
11615,33,0072,8f,91,80,ff,ff,5b4556454e545d5b303030302e30302e30305d5b30363a32363a33315d20526563762042696f20446174612050445b315d204143545b395d2042525b32315d2048525b35315d20585b305d20595b365d204261745b3130305d20436f6d5b305d20525353495b2d31305d,02,55,"12/03/2022, 19:23:44.463978"
11616,33,0072,90,91,80,ff,ff,5b4556454e545d5b303030302e30302e30305d5b30363a32363a33365d20526563762042696f20446174612050445b315d204143545b335d2042525b32345d2048525b35315d20585b305d20595b365d204261745b3130305d20436f6d5b305d20525353495b2d31305d,05,55,"12/03/2022, 19:23:49.389249"
11617,33,0072,91,91,80,ff,ff,5b4556454e545d5b303030302e30302e30305d5b30363a32363a34315d20526563762042696f20446174612050445b315d204143545b335d2042525b32335d2048525b35315d20585b315d20595b365d204261745b3130305d20436f6d5b305d20525353495b2d31305d,02,55,"12/03/2022, 19:23:54.443578"
11618,33,0072,92,91,80,ff,ff,5b4556454e545d5b303030302e30302e30305d5b30363a32363a34365d20526563762042696f20446174612050445b315d204143545b325d2042525b32315d2048525b37375d20585b305d20595b375d204261745b3130305d20436f6d5b305d20525353495b2d31305d,0d,55,"12/03/2022, 19:23:59.442148"
11619,33,0072,93,91,80,ff,ff,5b4556454e545d5b303030302e30302e30305d5b30363a32363a35315d20526563762042696f20446174612050445b315d204143545b385d2042525b32305d2048525b37375d20585b305d20595b365d204261745b3130305d20436f6d5b305d20525353495b2d31305d,0e,55,"12/03/2022, 19:24:04.560239"
11620,33,0072,94,91,80,ff,ff,5b4556454e545d5b303030302e30302e30305d5b30363a32363a35365d20526563762042696f20446174612050445b315d204143545b325d2042525b32325d2048525b37375d20585b305d20595b365d204261745b3130305d20436f6d5b305d20525353495b2d31305d,10,55,"12/03/2022, 19:24:09.386335"
11621,33,0036,95,91,80,ff,ff,5b475d5b303030302e30302e30305d5b30363a32373a30315d20203d3d3d3e2041444320417665725b323538385d,23,55,"12/03/2022, 19:24:13.413609"
11622,33,0072,96,91,80,ff,ff,5b4556454e545d5b303030302e30302e30305d5b30363a32373a30315d20526563762042696f20446174612050445b315d204143545b345d2042525b32325d2048525b37375d20585b305d20595b375d204261745b3130305d20436f6d5b305d20525353495b2d31305d,0c,55,"12/03/2022, 19:24:14.414376"
11623,33,006f,97,91,80,ff,ff,5b475d5b303030302e30302e30305d5b30363a32373a30345d2052656376204b4120504952205b325d204261745b3230305d2053656e73696e6720506572696f645b31343430305d205265706f727420506572696f645b31343430305d20525353495b2d33335d,a0,55,"12/03/2022, 19:24:16.936935"
11624,33,0073,98,91,80,ff,ff,5b4556454e545d5b303030302e30302e30305d5b30363a32373a30345d20526563762050495220446174612049445b307834345d204e756d5b3078325d20436e745b305d204d61736b5b3078202020305d204261745b3130305d20436f6d5b305d20525353495b2d33345d,10,55,"12/03/2022, 19:24:17.323099"
11625,33,0074,99,91,80,ff,ff,5b4556454e545d5b303030302e30302e30305d5b30363a32373a30365d20526563762042696f20446174612050445b315d204143545b355d2042525b31375d2048525b37395d20585b3235355d20595b395d204261745b3130305d20436f6d5b305d20525353495b2d31305d,8b,55,"12/03/2022, 19:24:19.449359"
11626,33,002e,9a,91,36,23,01,ffff0c33003800330033003300330033004d004d004d004d004f0000000000061b066400f6ff,2a,55,"12/03/2022, 19:24:19.643593"
11627,33,0052,9b,91,80,ff,ff,5b475d5b303030302e30302e30305d5b30363a32373a30375d2053656e736f722044617461205265706f72742049445b307832335d204e756d5b3078315d204757204261745b3130305d,52,55,"12/03/2022, 19:24:19.836795"
11628,33,002e,9c,91,36,24,01,ffff0c1500170014000f001500180017001500140016001600110000000000061b066400f6ff,39,55,"12/03/2022, 19:24:20.030438"
11629,33,0052,9d,91,80,ff,ff,5b475d5b303030302e30302e30305d5b30363a32373a30375d2053656e736f722044617461205265706f72742049445b307832345d204e756d5b3078315d204757204261745b3130305d,55,55,"12/03/2022, 19:24:20.223147"
11630,33,001d,9e,91,36,25,01,ffff0c4000000001ff0900000000061b066400f6ff,7b,55,"12/03/2022, 19:24:24.183354"
